Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2018-01-07,39,68
2018-01-14,41,72
2018-01-21,40,71
2018-01-28,37,67
2018-02-04,35,68
2018-02-11,33,66
2018-02-18,39,72
2018-02-25,38,68
2018-03-04,39,68
2018-03-11,45,73
2018-03-18,40,74
2018-03-25,41,72
2018-04-01,39,76
2018-04-08,37,71
2018-04-15,42,76
2018-04-22,40,81
2018-04-29,43,82
2018-05-06,37,95
2018-05-13,38,79
2018-05-20,44,85
2018-05-27,37,84
2018-06-03,47,82
2018-06-10,39,75
2018-06-17,32,73
2018-06-24,28,81
2018-07-01,27,81
2018-07-08,26,71
2018-07-15,28,78
2018-07-22,28,77
2018-07-29,26,73
2018-08-05,24,71
2018-08-12,25,68
2018-08-19,26,64
2018-08-26,25,63
2018-09-02,28,72
2018-09-09,27,72
2018-09-16,28,73
2018-09-23,36,72
2018-09-30,32,80
2018-10-07,42,87
2018-10-14,35,100
2018-10-21,36,94
2018-10-28,32,83
2018-11-04,36,83
2018-11-11,36,77
2018-11-18,38,87
2018-11-25,38,81
2018-12-02,39,79
2018-12-09,31,80
2018-12-16,30,73
2018-12-23,24,85
2018-12-30,31,72
