Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2016-01-03,80,55
2016-01-10,70,50
2016-01-17,74,52
2016-01-24,70,60
2016-01-31,67,56
2016-02-07,56,50
2016-02-14,69,55
2016-02-21,73,62
2016-02-28,78,56
2016-03-06,72,56
2016-03-13,66,52
2016-03-20,56,49
2016-03-27,58,52
2016-04-03,68,55
2016-04-10,76,59
2016-04-17,74,55
2016-04-24,74,54
2016-05-01,77,55
2016-05-08,82,58
2016-05-15,84,50
2016-05-22,80,55
2016-05-29,83,50
2016-06-05,65,48
2016-06-12,70,44
2016-06-19,48,50
2016-06-26,53,48
2016-07-03,50,51
2016-07-10,48,52
2016-07-17,51,51
2016-07-24,51,55
2016-07-31,42,55
2016-08-07,38,48
2016-08-14,38,50
2016-08-21,46,55
2016-08-28,54,54
2016-09-04,50,54
2016-09-11,51,58
2016-09-18,59,51
2016-09-25,63,64
2016-10-02,64,57
2016-10-09,62,64
2016-10-16,62,68
2016-10-23,65,69
2016-10-30,60,64
2016-11-06,74,65
2016-11-13,70,66
2016-11-20,67,71
2016-11-27,65,66
2016-12-04,58,100
2016-12-11,53,89
2016-12-18,43,89
2016-12-25,49,97
