Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2017-01-01,17,78
2017-01-08,22,73
2017-01-15,25,75
2017-01-22,22,75
2017-01-29,22,81
2017-02-05,21,77
2017-02-12,21,71
2017-02-19,21,67
2017-02-26,21,90
2017-03-05,23,72
2017-03-12,24,66
2017-03-19,22,69
2017-03-26,24,70
2017-04-02,19,75
2017-04-09,18,85
2017-04-16,18,68
2017-04-23,21,71
2017-04-30,23,70
2017-05-07,24,67
2017-05-14,24,58
2017-05-21,24,59
2017-05-28,28,61
2017-06-04,24,62
2017-06-11,21,67
2017-06-18,16,66
2017-06-25,16,76
2017-07-02,18,70
2017-07-09,15,66
2017-07-16,17,68
2017-07-23,13,73
2017-07-30,15,72
2017-08-06,13,67
2017-08-13,13,74
2017-08-20,14,75
2017-08-27,14,73
2017-09-03,15,63
2017-09-10,15,63
2017-09-17,17,57
2017-09-24,17,67
2017-10-01,17,69
2017-10-08,19,58
2017-10-15,20,63
2017-10-22,18,61
2017-10-29,17,72
2017-11-05,19,67
2017-11-12,24,78
2017-11-19,19,79
2017-11-26,20,82
2017-12-03,18,76
2017-12-10,20,73
2017-12-17,16,97
2017-12-24,18,100
2017-12-31,21,74
