Category: All categories

Week,Dessert: (Portugal)
2015-01-04,51
2015-01-11,56
2015-01-18,65
2015-01-25,55
2015-02-01,52
2015-02-08,69
2015-02-15,68
2015-02-22,72
2015-03-01,51
2015-03-08,63
2015-03-15,75
2015-03-22,65
2015-03-29,96
2015-04-05,49
2015-04-12,56
2015-04-19,53
2015-04-26,75
2015-05-03,47
2015-05-10,55
2015-05-17,60
2015-05-24,55
2015-05-31,61
2015-06-07,69
2015-06-14,55
2015-06-21,67
2015-06-28,49
2015-07-05,61
2015-07-12,54
2015-07-19,60
2015-07-26,58
2015-08-02,59
2015-08-09,61
2015-08-16,68
2015-08-23,49
2015-08-30,53
2015-09-06,55
2015-09-13,50
2015-09-20,54
2015-09-27,46
2015-10-04,54
2015-10-11,69
2015-10-18,60
2015-10-25,68
2015-11-01,51
2015-11-08,49
2015-11-15,57
2015-11-22,53
2015-11-29,47
2015-12-06,65
2015-12-13,77
2015-12-20,100
2015-12-27,98
