Category: All categories

Week,Hairdresser: (Portugal)
2018-01-07,70
2018-01-14,64
2018-01-21,68
2018-01-28,66
2018-02-04,68
2018-02-11,75
2018-02-18,82
2018-02-25,70
2018-03-04,71
2018-03-11,73
2018-03-18,80
2018-03-25,86
2018-04-01,70
2018-04-08,70
2018-04-15,65
2018-04-22,75
2018-04-29,86
2018-05-06,84
2018-05-13,70
2018-05-20,67
2018-05-27,79
2018-06-03,79
2018-06-10,76
2018-06-17,74
2018-06-24,84
2018-07-01,90
2018-07-08,86
2018-07-15,86
2018-07-22,86
2018-07-29,100
2018-08-05,100
2018-08-12,99
2018-08-19,85
2018-08-26,90
2018-09-02,96
2018-09-09,91
2018-09-16,90
2018-09-23,84
2018-09-30,78
2018-10-07,76
2018-10-14,97
2018-10-21,82
2018-10-28,70
2018-11-04,70
2018-11-11,73
2018-11-18,71
2018-11-25,80
2018-12-02,85
2018-12-09,86
2018-12-16,87
2018-12-23,98
2018-12-30,84
