Category: All categories

Week,Automotive industry: (Portugal)
2008-01-06,72
2008-01-13,79
2008-01-20,75
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,26
2008-02-24,46
2008-03-02,28
2008-03-09,0
2008-03-16,29
2008-03-23,0
2008-03-30,67
2008-04-06,0
2008-04-13,59
2008-04-20,0
2008-04-27,0
2008-05-04,0
2008-05-11,0
2008-05-18,0
2008-05-25,83
2008-06-01,70
2008-06-08,84
2008-06-15,35
2008-06-22,48
2008-06-29,44
2008-07-06,0
2008-07-13,25
2008-07-20,36
2008-07-27,61
2008-08-03,0
2008-08-10,0
2008-08-17,0
2008-08-24,0
2008-08-31,35
2008-09-07,69
2008-09-14,85
2008-09-21,51
2008-09-28,49
2008-10-05,27
2008-10-12,55
2008-10-19,100
2008-10-26,34
2008-11-02,60
2008-11-09,19
2008-11-16,0
2008-11-23,81
2008-11-30,0
2008-12-07,40
2008-12-14,0
2008-12-21,29
2008-12-28,0
