Category: All categories

Week,Energy: (Portugal),Juice: (Portugal)
2017-01-01,62,21
2017-01-08,81,21
2017-01-15,92,20
2017-01-22,79,23
2017-01-29,78,25
2017-02-05,77,23
2017-02-12,76,19
2017-02-19,77,22
2017-02-26,77,23
2017-03-05,85,20
2017-03-12,88,27
2017-03-19,80,24
2017-03-26,88,22
2017-04-02,68,31
2017-04-09,67,29
2017-04-16,66,25
2017-04-23,77,25
2017-04-30,82,30
2017-05-07,85,24
2017-05-14,87,25
2017-05-21,86,30
2017-05-28,100,27
2017-06-04,88,23
2017-06-11,75,28
2017-06-18,58,27
2017-06-25,57,21
2017-07-02,65,29
2017-07-09,53,29
2017-07-16,61,33
2017-07-23,48,34
2017-07-30,53,25
2017-08-06,47,27
2017-08-13,47,25
2017-08-20,50,25
2017-08-27,52,27
2017-09-03,53,22
2017-09-10,54,20
2017-09-17,60,14
2017-09-24,63,21
2017-10-01,61,24
2017-10-08,67,21
2017-10-15,73,19
2017-10-22,66,23
2017-10-29,62,16
2017-11-05,69,20
2017-11-12,85,18
2017-11-19,68,19
2017-11-26,72,19
2017-12-03,64,19
2017-12-10,74,18
2017-12-17,57,11
2017-12-24,64,16
2017-12-31,77,24
