Category: All categories

Week,Novel: (Portugal)
2016-01-03,58
2016-01-10,43
2016-01-17,50
2016-01-24,50
2016-01-31,45
2016-02-07,39
2016-02-14,44
2016-02-21,72
2016-02-28,44
2016-03-06,48
2016-03-13,33
2016-03-20,54
2016-03-27,53
2016-04-03,41
2016-04-10,61
2016-04-17,39
2016-04-24,46
2016-05-01,54
2016-05-08,51
2016-05-15,44
2016-05-22,47
2016-05-29,41
2016-06-05,43
2016-06-12,50
2016-06-19,38
2016-06-26,53
2016-07-03,51
2016-07-10,25
2016-07-17,49
2016-07-24,46
2016-07-31,54
2016-08-07,68
2016-08-14,40
2016-08-21,57
2016-08-28,43
2016-09-04,63
2016-09-11,37
2016-09-18,64
2016-09-25,55
2016-10-02,54
2016-10-09,47
2016-10-16,62
2016-10-23,35
2016-10-30,40
2016-11-06,56
2016-11-13,60
2016-11-20,38
2016-11-27,60
2016-12-04,88
2016-12-11,49
2016-12-18,72
2016-12-25,71
2017-01-01,81
2017-01-08,45
2017-01-15,69
2017-01-22,55
2017-01-29,92
2017-02-05,78
2017-02-12,79
2017-02-19,57
2017-02-26,95
2017-03-05,92
2017-03-12,71
2017-03-19,93
2017-03-26,67
2017-04-02,82
2017-04-09,87
2017-04-16,84
2017-04-23,80
2017-04-30,88
2017-05-07,94
2017-05-14,76
2017-05-21,51
2017-05-28,92
2017-06-04,72
2017-06-11,100
2017-06-18,67
2017-06-25,76
2017-07-02,75
2017-07-09,94
2017-07-16,80
2017-07-23,73
2017-07-30,80
2017-08-06,68
2017-08-13,71
2017-08-20,77
2017-08-27,72
2017-09-03,62
2017-09-10,67
2017-09-17,70
2017-09-24,62
2017-10-01,71
2017-10-08,95
2017-10-15,61
2017-10-22,64
2017-10-29,82
2017-11-05,59
2017-11-12,66
2017-11-19,66
2017-11-26,93
2017-12-03,65
2017-12-10,71
2017-12-17,74
2017-12-24,62
2017-12-31,61
