Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2010-01-03,67,20
2010-01-10,73,30
2010-01-17,71,26
2010-01-24,73,25
2010-01-31,74,24
2010-02-07,67,23
2010-02-14,55,28
2010-02-21,71,23
2010-02-28,67,26
2010-03-07,69,22
2010-03-14,67,20
2010-03-21,63,27
2010-03-28,43,30
2010-04-04,57,30
2010-04-11,73,22
2010-04-18,88,24
2010-04-25,72,20
2010-05-02,83,20
2010-05-09,79,24
2010-05-16,97,22
2010-05-23,100,21
2010-05-30,85,16
2010-06-06,69,36
2010-06-13,49,28
2010-06-20,40,32
2010-06-27,47,29
2010-07-04,47,29
2010-07-11,37,25
2010-07-18,33,27
2010-07-25,48,27
2010-08-01,44,28
2010-08-08,37,30
2010-08-15,34,25
2010-08-22,39,35
2010-08-29,30,26
2010-09-05,37,25
2010-09-12,53,29
2010-09-19,54,22
2010-09-26,54,20
2010-10-03,48,23
2010-10-10,60,22
2010-10-17,49,25
2010-10-24,57,26
2010-10-31,62,27
2010-11-07,60,21
2010-11-14,66,23
2010-11-21,60,26
2010-11-28,58,16
2010-12-05,55,24
2010-12-12,51,22
2010-12-19,33,27
2010-12-26,28,33
