Category: All categories

Week,Bottled water: (Portugal)
2017-01-01,35
2017-01-08,0
2017-01-15,25
2017-01-22,0
2017-01-29,43
2017-02-05,38
2017-02-12,31
2017-02-19,46
2017-02-26,0
2017-03-05,39
2017-03-12,67
2017-03-19,0
2017-03-26,0
2017-04-02,29
2017-04-09,0
2017-04-16,25
2017-04-23,0
2017-04-30,0
2017-05-07,16
2017-05-14,0
2017-05-21,24
2017-05-28,0
2017-06-04,36
2017-06-11,0
2017-06-18,40
2017-06-25,36
2017-07-02,22
2017-07-09,29
2017-07-16,46
2017-07-23,100
2017-07-30,47
2017-08-06,26
2017-08-13,0
2017-08-20,16
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,18
2017-09-24,21
2017-10-01,23
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,14
2017-11-05,18
2017-11-12,15
2017-11-19,69
2017-11-26,0
2017-12-03,23
2017-12-10,0
2017-12-17,0
2017-12-24,66
2017-12-31,23
