Category: All categories

Week,ebook: (Portugal)
2009-01-04,65
2009-01-11,87
2009-01-18,67
2009-01-25,71
2009-02-01,71
2009-02-08,62
2009-02-15,53
2009-02-22,63
2009-03-01,71
2009-03-08,56
2009-03-15,45
2009-03-22,66
2009-03-29,32
2009-04-05,54
2009-04-12,69
2009-04-19,67
2009-04-26,62
2009-05-03,61
2009-05-10,69
2009-05-17,63
2009-05-24,65
2009-05-31,59
2009-06-07,74
2009-06-14,52
2009-06-21,38
2009-06-28,65
2009-07-05,48
2009-07-12,41
2009-07-19,58
2009-07-26,54
2009-08-02,53
2009-08-09,45
2009-08-16,58
2009-08-23,55
2009-08-30,41
2009-09-06,77
2009-09-13,62
2009-09-20,61
2009-09-27,67
2009-10-04,87
2009-10-11,80
2009-10-18,81
2009-10-25,92
2009-11-01,100
2009-11-08,79
2009-11-15,92
2009-11-22,77
2009-11-29,65
2009-12-06,60
2009-12-13,81
2009-12-20,75
2009-12-27,71
