Category: All categories

Week,Restaurant: (Portugal)
2012-01-01,66
2012-01-08,68
2012-01-15,67
2012-01-22,74
2012-01-29,76
2012-02-05,78
2012-02-12,100
2012-02-19,78
2012-02-26,66
2012-03-04,73
2012-03-11,66
2012-03-18,64
2012-03-25,66
2012-04-01,71
2012-04-08,69
2012-04-15,71
2012-04-22,75
2012-04-29,75
2012-05-06,74
2012-05-13,66
2012-05-20,67
2012-05-27,73
2012-06-03,67
2012-06-10,64
2012-06-17,63
2012-06-24,70
2012-07-01,70
2012-07-08,74
2012-07-15,78
2012-07-22,84
2012-07-29,85
2012-08-05,88
2012-08-12,97
2012-08-19,98
2012-08-26,86
2012-09-02,78
2012-09-09,73
2012-09-16,77
2012-09-23,78
2012-09-30,73
2012-10-07,69
2012-10-14,68
2012-10-21,65
2012-10-28,68
2012-11-04,62
2012-11-11,66
2012-11-18,75
2012-11-25,77
2012-12-02,82
2012-12-09,88
2012-12-16,78
2012-12-23,90
2012-12-30,88
