Category: All categories

Week,Hairdresser: (Portugal)
2012-01-01,74
2012-01-08,74
2012-01-15,66
2012-01-22,74
2012-01-29,77
2012-02-05,75
2012-02-12,62
2012-02-19,78
2012-02-26,81
2012-03-04,83
2012-03-11,68
2012-03-18,72
2012-03-25,81
2012-04-01,86
2012-04-08,75
2012-04-15,74
2012-04-22,81
2012-04-29,81
2012-05-06,70
2012-05-13,67
2012-05-20,77
2012-05-27,80
2012-06-03,87
2012-06-10,87
2012-06-17,84
2012-06-24,90
2012-07-01,85
2012-07-08,84
2012-07-15,91
2012-07-22,83
2012-07-29,85
2012-08-05,100
2012-08-12,83
2012-08-19,86
2012-08-26,96
2012-09-02,96
2012-09-09,87
2012-09-16,79
2012-09-23,76
2012-09-30,84
2012-10-07,74
2012-10-14,67
2012-10-21,75
2012-10-28,71
2012-11-04,66
2012-11-11,65
2012-11-18,67
2012-11-25,68
2012-12-02,78
2012-12-09,67
2012-12-16,84
2012-12-23,84
2012-12-30,88
