Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2011-01-02,64,20
2011-01-09,82,18
2011-01-16,79,22
2011-01-23,76,17
2011-01-30,73,17
2011-02-06,79,14
2011-02-13,70,12
2011-02-20,82,14
2011-02-27,75,24
2011-03-06,66,21
2011-03-13,86,22
2011-03-20,79,15
2011-03-27,75,16
2011-04-03,69,14
2011-04-10,50,16
2011-04-17,58,18
2011-04-24,72,15
2011-05-01,81,15
2011-05-08,79,11
2011-05-15,91,15
2011-05-22,100,16
2011-05-29,95,12
2011-06-05,88,14
2011-06-12,96,18
2011-06-19,79,17
2011-06-26,99,17
2011-07-03,81,13
2011-07-10,79,17
2011-07-17,91,14
2011-07-24,77,14
2011-07-31,55,16
2011-08-07,46,19
2011-08-14,42,19
2011-08-21,51,15
2011-08-28,43,16
2011-09-04,51,16
2011-09-11,48,16
2011-09-18,57,12
2011-09-25,60,13
2011-10-02,64,15
2011-10-09,60,13
2011-10-16,72,16
2011-10-23,63,15
2011-10-30,58,14
2011-11-06,67,17
2011-11-13,70,12
2011-11-20,64,14
2011-11-27,61,13
2011-12-04,58,13
2011-12-11,66,7
2011-12-18,40,14
2011-12-25,51,14
