Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2018-01-07,32,93
2018-01-14,34,95
2018-01-21,34,98
2018-01-28,31,100
2018-02-04,29,88
2018-02-11,28,93
2018-02-18,32,89
2018-02-25,31,92
2018-03-04,32,86
2018-03-11,38,83
2018-03-18,33,88
2018-03-25,34,84
2018-04-01,33,89
2018-04-08,31,87
2018-04-15,36,83
2018-04-22,34,82
2018-04-29,35,83
2018-05-06,31,85
2018-05-13,32,84
2018-05-20,36,86
2018-05-27,30,87
2018-06-03,40,88
2018-06-10,33,81
2018-06-17,26,74
2018-06-24,23,79
2018-07-01,23,83
2018-07-08,22,84
2018-07-15,24,84
2018-07-22,23,84
2018-07-29,22,83
2018-08-05,20,83
2018-08-12,21,88
2018-08-19,22,89
2018-08-26,21,91
2018-09-02,23,92
2018-09-09,22,92
2018-09-16,23,95
2018-09-23,30,95
2018-09-30,27,88
2018-10-07,35,90
2018-10-14,29,94
2018-10-21,30,86
2018-10-28,27,73
2018-11-04,30,85
2018-11-11,30,89
2018-11-18,31,81
2018-11-25,32,79
2018-12-02,32,73
2018-12-09,26,75
2018-12-16,25,67
2018-12-23,20,70
2018-12-30,26,74
