Category: All categories

Week,ebook: (Portugal)
2011-01-02,84
2011-01-09,68
2011-01-16,59
2011-01-23,74
2011-01-30,61
2011-02-06,67
2011-02-13,72
2011-02-20,80
2011-02-27,77
2011-03-06,80
2011-03-13,59
2011-03-20,77
2011-03-27,74
2011-04-03,62
2011-04-10,59
2011-04-17,55
2011-04-24,59
2011-05-01,59
2011-05-08,68
2011-05-15,73
2011-05-22,61
2011-05-29,50
2011-06-05,81
2011-06-12,75
2011-06-19,61
2011-06-26,62
2011-07-03,58
2011-07-10,48
2011-07-17,70
2011-07-24,62
2011-07-31,55
2011-08-07,69
2011-08-14,75
2011-08-21,60
2011-08-28,68
2011-09-04,69
2011-09-11,67
2011-09-18,68
2011-09-25,72
2011-10-02,100
2011-10-09,79
2011-10-16,81
2011-10-23,78
2011-10-30,63
2011-11-06,67
2011-11-13,76
2011-11-20,71
2011-11-27,70
2011-12-04,66
2011-12-11,70
2011-12-18,73
2011-12-25,83
2012-01-01,75
2012-01-08,75
2012-01-15,82
2012-01-22,63
2012-01-29,57
2012-02-05,68
2012-02-12,69
2012-02-19,67
2012-02-26,61
2012-03-04,77
2012-03-11,70
2012-03-18,69
2012-03-25,73
2012-04-01,66
2012-04-08,54
2012-04-15,59
2012-04-22,65
2012-04-29,66
2012-05-06,47
2012-05-13,67
2012-05-20,63
2012-05-27,63
2012-06-03,64
2012-06-10,55
2012-06-17,47
2012-06-24,55
2012-07-01,60
2012-07-08,52
2012-07-15,54
2012-07-22,69
2012-07-29,61
2012-08-05,62
2012-08-12,66
2012-08-19,68
2012-08-26,54
2012-09-02,46
2012-09-09,46
2012-09-16,62
2012-09-23,81
2012-09-30,71
2012-10-07,80
2012-10-14,72
2012-10-21,81
2012-10-28,74
2012-11-04,65
2012-11-11,68
2012-11-18,67
2012-11-25,62
2012-12-02,70
2012-12-09,68
2012-12-16,64
2012-12-23,91
2012-12-30,72
