Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2014-01-05,85,45
2014-01-12,80,47
2014-01-19,80,54
2014-01-26,82,51
2014-02-02,73,47
2014-02-09,80,43
2014-02-16,71,49
2014-02-23,76,48
2014-03-02,68,44
2014-03-09,72,46
2014-03-16,81,51
2014-03-23,86,48
2014-03-30,77,48
2014-04-06,62,46
2014-04-13,61,49
2014-04-20,67,63
2014-04-27,67,48
2014-05-04,79,50
2014-05-11,86,49
2014-05-18,99,51
2014-05-25,100,47
2014-06-01,97,50
2014-06-08,88,38
2014-06-15,84,39
2014-06-22,78,47
2014-06-29,69,44
2014-07-06,69,45
2014-07-13,61,49
2014-07-20,52,45
2014-07-27,51,41
2014-08-03,48,37
2014-08-10,41,42
2014-08-17,51,44
2014-08-24,46,50
2014-08-31,62,47
2014-09-07,56,42
2014-09-14,66,50
2014-09-21,66,46
2014-09-28,72,42
2014-10-05,79,51
2014-10-12,71,47
2014-10-19,64,37
2014-10-26,74,44
2014-11-02,72,44
2014-11-09,76,44
2014-11-16,67,47
2014-11-23,66,54
2014-11-30,63,47
2014-12-07,74,54
2014-12-14,65,48
2014-12-21,58,51
2014-12-28,73,45
