Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2015-01-04,24,80
2015-01-11,27,79
2015-01-18,25,73
2015-01-25,23,75
2015-02-01,20,73
2015-02-08,21,69
2015-02-15,19,80
2015-02-22,25,75
2015-03-01,23,68
2015-03-08,23,71
2015-03-15,23,71
2015-03-22,19,75
2015-03-29,16,77
2015-04-05,20,70
2015-04-12,22,79
2015-04-19,21,78
2015-04-26,20,77
2015-05-03,21,76
2015-05-10,23,72
2015-05-17,21,73
2015-05-24,23,70
2015-05-31,19,71
2015-06-07,20,71
2015-06-14,18,69
2015-06-21,15,68
2015-06-28,15,75
2015-07-05,14,78
2015-07-12,14,77
2015-07-19,13,81
2015-07-26,15,86
2015-08-02,11,81
2015-08-09,12,87
2015-08-16,12,85
2015-08-23,12,83
2015-08-30,15,81
2015-09-06,15,81
2015-09-13,14,79
2015-09-20,16,80
2015-09-27,18,79
2015-10-04,17,76
2015-10-11,18,72
2015-10-18,17,73
2015-10-25,19,73
2015-11-01,19,71
2015-11-08,17,68
2015-11-15,17,80
2015-11-22,19,79
2015-11-29,19,82
2015-12-06,17,82
2015-12-13,18,86
2015-12-20,11,100
2015-12-27,15,88
