Category: All categories

Week,Tobacco: (Portugal)
2008-01-06,70
2008-01-13,0
2008-01-20,25
2008-01-27,70
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,29
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,27
2008-04-13,0
2008-04-20,66
2008-04-27,0
2008-05-04,43
2008-05-11,0
2008-05-18,34
2008-05-25,58
2008-06-01,26
2008-06-08,0
2008-06-15,23
2008-06-22,70
2008-06-29,21
2008-07-06,0
2008-07-13,31
2008-07-20,42
2008-07-27,22
2008-08-03,0
2008-08-10,100
2008-08-17,0
2008-08-24,0
2008-08-31,0
2008-09-07,47
2008-09-14,18
2008-09-21,0
2008-09-28,0
2008-10-05,37
2008-10-12,0
2008-10-19,27
2008-10-26,20
2008-11-02,0
2008-11-09,31
2008-11-16,23
2008-11-23,23
2008-11-30,94
2008-12-07,0
2008-12-14,28
2008-12-21,0
2008-12-28,34
