Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2009-01-04,95,44
2009-01-11,80,41
2009-01-18,72,44
2009-01-25,77,35
2009-02-01,69,39
2009-02-08,74,40
2009-02-15,88,39
2009-02-22,71,41
2009-03-01,100,39
2009-03-08,93,42
2009-03-15,80,44
2009-03-22,93,43
2009-03-29,60,46
2009-04-05,58,46
2009-04-12,81,46
2009-04-19,79,45
2009-04-26,80,42
2009-05-03,87,49
2009-05-10,78,44
2009-05-17,80,51
2009-05-24,94,51
2009-05-31,78,42
2009-06-07,56,35
2009-06-14,72,41
2009-06-21,53,39
2009-06-28,54,44
2009-07-05,59,37
2009-07-12,52,41
2009-07-19,46,40
2009-07-26,46,37
2009-08-02,39,36
2009-08-09,39,34
2009-08-16,29,40
2009-08-23,36,40
2009-08-30,40,45
2009-09-06,31,43
2009-09-13,51,51
2009-09-20,48,56
2009-09-27,53,54
2009-10-04,53,58
2009-10-11,56,51
2009-10-18,65,55
2009-10-25,57,50
2009-11-01,67,51
2009-11-08,64,54
2009-11-15,70,46
2009-11-22,60,52
2009-11-29,54,52
2009-12-06,61,48
2009-12-13,63,42
2009-12-20,34,46
2009-12-27,36,46
