Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2012-01-01,74,4
2012-01-08,85,2
2012-01-15,84,2
2012-01-22,81,1
2012-01-29,70,1
2012-02-05,81,1
2012-02-12,73,3
2012-02-19,64,2
2012-02-26,77,2
2012-03-04,77,4
2012-03-11,84,2
2012-03-18,81,1
2012-03-25,64,3
2012-04-01,53,3
2012-04-08,68,1
2012-04-15,89,4
2012-04-22,75,4
2012-04-29,81,3
2012-05-06,90,3
2012-05-13,97,4
2012-05-20,95,0
2012-05-27,100,4
2012-06-03,83,4
2012-06-10,77,2
2012-06-17,67,4
2012-06-24,72,4
2012-07-01,67,5
2012-07-08,60,3
2012-07-15,51,6
2012-07-22,46,8
2012-07-29,42,5
2012-08-05,42,5
2012-08-12,41,5
2012-08-19,45,8
2012-08-26,46,4
2012-09-02,46,3
2012-09-09,58,2
2012-09-16,66,2
2012-09-23,56,2
2012-09-30,52,2
2012-10-07,58,2
2012-10-14,61,2
2012-10-21,62,2
2012-10-28,63,2
2012-11-04,67,1
2012-11-11,63,2
2012-11-18,66,2
2012-11-25,71,3
2012-12-02,69,2
2012-12-09,67,5
2012-12-16,56,3
2012-12-23,64,2
2012-12-30,72,2
