Category: All categories

Week,Furniture: (Portugal)
2006-01-01,59
2006-01-08,83
2006-01-15,82
2006-01-22,82
2006-01-29,76
2006-02-05,81
2006-02-12,86
2006-02-19,70
2006-02-26,41
2006-03-05,58
2006-03-12,85
2006-03-19,76
2006-03-26,91
2006-04-02,58
2006-04-09,68
2006-04-16,70
2006-04-23,51
2006-04-30,52
2006-05-07,55
2006-05-14,75
2006-05-21,47
2006-05-28,62
2006-06-04,55
2006-06-11,67
2006-06-18,79
2006-06-25,53
2006-07-02,74
2006-07-09,61
2006-07-16,61
2006-07-23,81
2006-07-30,80
2006-08-06,63
2006-08-13,88
2006-08-20,79
2006-08-27,85
2006-09-03,80
2006-09-10,70
2006-09-17,81
2006-09-24,66
2006-10-01,100
2006-10-08,73
2006-10-15,89
2006-10-22,71
2006-10-29,92
2006-11-05,71
2006-11-12,65
2006-11-19,67
2006-11-26,70
2006-12-03,56
2006-12-10,57
2006-12-17,35
2006-12-24,54
2006-12-31,63
