Category: All categories

Week,Life insurance: (Portugal)
2009-01-04,23
2009-01-11,0
2009-01-18,60
2009-01-25,26
2009-02-01,100
2009-02-08,51
2009-02-15,34
2009-02-22,40
2009-03-01,27
2009-03-08,30
2009-03-15,43
2009-03-22,42
2009-03-29,0
2009-04-05,52
2009-04-12,30
2009-04-19,0
2009-04-26,43
2009-05-03,71
2009-05-10,29
2009-05-17,22
2009-05-24,42
2009-05-31,0
2009-06-07,29
2009-06-14,59
2009-06-21,32
2009-06-28,41
2009-07-05,61
2009-07-12,26
2009-07-19,0
2009-07-26,34
2009-08-02,0
2009-08-09,100
2009-08-16,37
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,23
2009-10-04,0
2009-10-11,0
2009-10-18,29
2009-10-25,54
2009-11-01,20
2009-11-08,28
2009-11-15,62
2009-11-22,83
2009-11-29,0
2009-12-06,39
2009-12-13,0
2009-12-20,0
2009-12-27,0
