Category: All categories

Week,Furniture: (Portugal)
2011-01-02,69
2011-01-09,79
2011-01-16,85
2011-01-23,80
2011-01-30,81
2011-02-06,73
2011-02-13,69
2011-02-20,72
2011-02-27,79
2011-03-06,79
2011-03-13,71
2011-03-20,77
2011-03-27,77
2011-04-03,66
2011-04-10,60
2011-04-17,64
2011-04-24,65
2011-05-01,67
2011-05-08,64
2011-05-15,64
2011-05-22,72
2011-05-29,70
2011-06-05,67
2011-06-12,68
2011-06-19,64
2011-06-26,56
2011-07-03,78
2011-07-10,72
2011-07-17,74
2011-07-24,68
2011-07-31,76
2011-08-07,82
2011-08-14,87
2011-08-21,95
2011-08-28,100
2011-09-04,73
2011-09-11,71
2011-09-18,73
2011-09-25,83
2011-10-02,74
2011-10-09,77
2011-10-16,71
2011-10-23,84
2011-10-30,68
2011-11-06,72
2011-11-13,76
2011-11-20,79
2011-11-27,72
2011-12-04,71
2011-12-11,59
2011-12-18,45
2011-12-25,53
