Category: All categories

Week,Lawyer: (Portugal)
2018-01-07,81
2018-01-14,80
2018-01-21,86
2018-01-28,92
2018-02-04,68
2018-02-11,62
2018-02-18,83
2018-02-25,76
2018-03-04,65
2018-03-11,68
2018-03-18,73
2018-03-25,64
2018-04-01,68
2018-04-08,80
2018-04-15,84
2018-04-22,64
2018-04-29,64
2018-05-06,70
2018-05-13,79
2018-05-20,78
2018-05-27,64
2018-06-03,76
2018-06-10,78
2018-06-17,74
2018-06-24,63
2018-07-01,61
2018-07-08,72
2018-07-15,79
2018-07-22,65
2018-07-29,54
2018-08-05,59
2018-08-12,55
2018-08-19,59
2018-08-26,61
2018-09-02,70
2018-09-09,84
2018-09-16,78
2018-09-23,85
2018-09-30,77
2018-10-07,79
2018-10-14,85
2018-10-21,78
2018-10-28,67
2018-11-04,76
2018-11-11,100
2018-11-18,83
2018-11-25,83
2018-12-02,84
2018-12-09,85
2018-12-16,81
2018-12-23,54
2018-12-30,64
