Category: All categories

Week,Dessert: (Portugal)
2008-01-06,41
2008-01-13,49
2008-01-20,44
2008-01-27,89
2008-02-03,27
2008-02-10,52
2008-02-17,48
2008-02-24,48
2008-03-02,40
2008-03-09,20
2008-03-16,19
2008-03-23,63
2008-03-30,53
2008-04-06,33
2008-04-13,57
2008-04-20,38
2008-04-27,61
2008-05-04,43
2008-05-11,28
2008-05-18,53
2008-05-25,32
2008-06-01,25
2008-06-08,49
2008-06-15,38
2008-06-22,70
2008-06-29,46
2008-07-06,48
2008-07-13,29
2008-07-20,56
2008-07-27,23
2008-08-03,52
2008-08-10,20
2008-08-17,36
2008-08-24,51
2008-08-31,31
2008-09-07,42
2008-09-14,39
2008-09-21,29
2008-09-28,38
2008-10-05,57
2008-10-12,37
2008-10-19,25
2008-10-26,70
2008-11-02,46
2008-11-09,33
2008-11-16,61
2008-11-23,39
2008-11-30,28
2008-12-07,41
2008-12-14,33
2008-12-21,74
2008-12-28,72
2009-01-04,40
2009-01-11,45
2009-01-18,22
2009-01-25,24
2009-02-01,37
2009-02-08,47
2009-02-15,64
2009-02-22,64
2009-03-01,18
2009-03-08,53
2009-03-15,57
2009-03-22,58
2009-03-29,36
2009-04-05,86
2009-04-12,54
2009-04-19,40
2009-04-26,59
2009-05-03,53
2009-05-10,40
2009-05-17,32
2009-05-24,42
2009-05-31,44
2009-06-07,35
2009-06-14,54
2009-06-21,70
2009-06-28,63
2009-07-05,42
2009-07-12,42
2009-07-19,73
2009-07-26,62
2009-08-02,27
2009-08-09,81
2009-08-16,39
2009-08-23,100
2009-08-30,59
2009-09-06,38
2009-09-13,45
2009-09-20,58
2009-09-27,45
2009-10-04,45
2009-10-11,52
2009-10-18,55
2009-10-25,55
2009-11-01,43
2009-11-08,29
2009-11-15,51
2009-11-22,52
2009-11-29,38
2009-12-06,44
2009-12-13,42
2009-12-20,85
2009-12-27,81
