Category: All categories

Week,Television: (Portugal)
2017-01-01,72
2017-01-08,80
2017-01-15,75
2017-01-22,76
2017-01-29,85
2017-02-05,91
2017-02-12,66
2017-02-19,95
2017-02-26,83
2017-03-05,78
2017-03-12,80
2017-03-19,59
2017-03-26,100
2017-04-02,69
2017-04-09,94
2017-04-16,81
2017-04-23,88
2017-04-30,70
2017-05-07,92
2017-05-14,60
2017-05-21,59
2017-05-28,52
2017-06-04,51
2017-06-11,52
2017-06-18,53
2017-06-25,46
2017-07-02,49
2017-07-09,54
2017-07-16,61
2017-07-23,60
2017-07-30,55
2017-08-06,77
2017-08-13,88
2017-08-20,72
2017-08-27,63
2017-09-03,65
2017-09-10,71
2017-09-17,75
2017-09-24,72
2017-10-01,67
2017-10-08,56
2017-10-15,73
2017-10-22,67
2017-10-29,65
2017-11-05,57
2017-11-12,59
2017-11-19,57
2017-11-26,77
2017-12-03,68
2017-12-10,63
2017-12-17,62
2017-12-24,62
2017-12-31,93
