Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2010-01-03,67,52
2010-01-10,72,54
2010-01-17,72,47
2010-01-24,73,46
2010-01-31,76,46
2010-02-07,67,45
2010-02-14,56,49
2010-02-21,70,54
2010-02-28,67,51
2010-03-07,70,57
2010-03-14,65,52
2010-03-21,62,61
2010-03-28,41,55
2010-04-04,57,63
2010-04-11,75,63
2010-04-18,86,52
2010-04-25,74,58
2010-05-02,84,70
2010-05-09,78,63
2010-05-16,97,60
2010-05-23,100,65
2010-05-30,84,86
2010-06-06,69,59
2010-06-13,50,56
2010-06-20,42,57
2010-06-27,44,53
2010-07-04,45,46
2010-07-11,36,59
2010-07-18,37,53
2010-07-25,47,52
2010-08-01,38,56
2010-08-08,35,52
2010-08-15,37,55
2010-08-22,36,62
2010-08-29,31,59
2010-09-05,37,65
2010-09-12,50,55
2010-09-19,55,63
2010-09-26,54,68
2010-10-03,49,77
2010-10-10,60,72
2010-10-17,49,68
2010-10-24,56,64
2010-10-31,62,60
2010-11-07,59,70
2010-11-14,68,55
2010-11-21,61,61
2010-11-28,59,50
2010-12-05,56,62
2010-12-12,50,52
2010-12-19,32,44
2010-12-26,28,52
