Category: All categories

Week,Used car: (Portugal)
2013-01-06,70
2013-01-13,74
2013-01-20,67
2013-01-27,73
2013-02-03,71
2013-02-10,68
2013-02-17,69
2013-02-24,72
2013-03-03,72
2013-03-10,75
2013-03-17,75
2013-03-24,84
2013-03-31,74
2013-04-07,66
2013-04-14,77
2013-04-21,69
2013-04-28,75
2013-05-05,67
2013-05-12,76
2013-05-19,84
2013-05-26,71
2013-06-02,73
2013-06-09,79
2013-06-16,74
2013-06-23,65
2013-06-30,69
2013-07-07,68
2013-07-14,76
2013-07-21,87
2013-07-28,83
2013-08-04,92
2013-08-11,95
2013-08-18,88
2013-08-25,97
2013-09-01,100
2013-09-08,93
2013-09-15,98
2013-09-22,94
2013-09-29,91
2013-10-06,86
2013-10-13,94
2013-10-20,77
2013-10-27,74
2013-11-03,80
2013-11-10,75
2013-11-17,82
2013-11-24,78
2013-12-01,74
2013-12-08,71
2013-12-15,76
2013-12-22,88
2013-12-29,91
