Category: All categories

Week,Used car: (Portugal)
2014-01-05,78
2014-01-12,85
2014-01-19,85
2014-01-26,90
2014-02-02,87
2014-02-09,72
2014-02-16,83
2014-02-23,87
2014-03-02,72
2014-03-09,74
2014-03-16,75
2014-03-23,68
2014-03-30,66
2014-04-06,66
2014-04-13,71
2014-04-20,73
2014-04-27,79
2014-05-04,77
2014-05-11,73
2014-05-18,78
2014-05-25,78
2014-06-01,72
2014-06-08,80
2014-06-15,75
2014-06-22,76
2014-06-29,71
2014-07-06,75
2014-07-13,76
2014-07-20,88
2014-07-27,78
2014-08-03,73
2014-08-10,87
2014-08-17,100
2014-08-24,96
2014-08-31,83
2014-09-07,86
2014-09-14,83
2014-09-21,91
2014-09-28,86
2014-10-05,84
2014-10-12,85
2014-10-19,95
2014-10-26,78
2014-11-02,84
2014-11-09,80
2014-11-16,87
2014-11-23,73
2014-11-30,78
2014-12-07,70
2014-12-14,70
2014-12-21,80
2014-12-28,83
