Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2017-01-01,59,77
2017-01-08,77,81
2017-01-15,87,81
2017-01-22,75,86
2017-01-29,74,84
2017-02-05,73,87
2017-02-12,72,74
2017-02-19,73,84
2017-02-26,73,82
2017-03-05,81,81
2017-03-12,83,81
2017-03-19,76,82
2017-03-26,84,72
2017-04-02,64,69
2017-04-09,63,74
2017-04-16,63,63
2017-04-23,73,70
2017-04-30,78,75
2017-05-07,81,78
2017-05-14,83,75
2017-05-21,82,66
2017-05-28,95,75
2017-06-04,84,70
2017-06-11,71,61
2017-06-18,55,58
2017-06-25,54,68
2017-07-02,62,63
2017-07-09,51,61
2017-07-16,58,58
2017-07-23,46,65
2017-07-30,50,60
2017-08-06,45,68
2017-08-13,45,66
2017-08-20,48,62
2017-08-27,49,70
2017-09-03,50,64
2017-09-10,51,63
2017-09-17,57,77
2017-09-24,60,76
2017-10-01,58,70
2017-10-08,64,89
2017-10-15,70,81
2017-10-22,63,93
2017-10-29,59,94
2017-11-05,65,87
2017-11-12,81,95
2017-11-19,64,91
2017-11-26,68,93
2017-12-03,61,89
2017-12-10,70,76
2017-12-17,54,100
2017-12-24,61,91
2017-12-31,73,80
