Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2017-01-01,62,82
2017-01-08,86,82
2017-01-15,94,77
2017-01-22,82,82
2017-01-29,79,91
2017-02-05,80,78
2017-02-12,78,81
2017-02-19,81,96
2017-02-26,79,68
2017-03-05,86,83
2017-03-12,88,90
2017-03-19,81,96
2017-03-26,88,90
2017-04-02,66,78
2017-04-09,66,63
2017-04-16,67,80
2017-04-23,77,80
2017-04-30,84,79
2017-05-07,88,74
2017-05-14,86,82
2017-05-21,87,97
2017-05-28,100,83
2017-06-04,91,88
2017-06-11,78,71
2017-06-18,59,89
2017-06-25,60,80
2017-07-02,64,90
2017-07-09,58,74
2017-07-16,62,77
2017-07-23,50,70
2017-07-30,53,68
2017-08-06,47,64
2017-08-13,46,49
2017-08-20,52,59
2017-08-27,53,68
2017-09-03,53,79
2017-09-10,55,82
2017-09-17,61,91
2017-09-24,62,88
2017-10-01,60,80
2017-10-08,69,93
2017-10-15,73,93
2017-10-22,68,90
2017-10-29,66,76
2017-11-05,70,94
2017-11-12,87,91
2017-11-19,68,91
2017-11-26,74,80
2017-12-03,70,81
2017-12-10,75,95
2017-12-17,58,90
2017-12-24,68,56
2017-12-31,79,74
