Category: All categories

Week,Furniture: (Portugal)
2008-01-06,82
2008-01-13,100
2008-01-20,100
2008-01-27,81
2008-02-03,78
2008-02-10,68
2008-02-17,78
2008-02-24,73
2008-03-02,84
2008-03-09,78
2008-03-16,82
2008-03-23,86
2008-03-30,65
2008-04-06,83
2008-04-13,85
2008-04-20,72
2008-04-27,74
2008-05-04,67
2008-05-11,78
2008-05-18,69
2008-05-25,80
2008-06-01,77
2008-06-08,65
2008-06-15,49
2008-06-22,59
2008-06-29,59
2008-07-06,68
2008-07-13,74
2008-07-20,68
2008-07-27,73
2008-08-03,77
2008-08-10,70
2008-08-17,80
2008-08-24,95
2008-08-31,78
2008-09-07,72
2008-09-14,71
2008-09-21,69
2008-09-28,65
2008-10-05,78
2008-10-12,72
2008-10-19,69
2008-10-26,74
2008-11-02,61
2008-11-09,68
2008-11-16,64
2008-11-23,73
2008-11-30,60
2008-12-07,52
2008-12-14,49
2008-12-21,39
2008-12-28,48
2009-01-04,62
2009-01-11,63
2009-01-18,66
2009-01-25,65
2009-02-01,69
2009-02-08,67
2009-02-15,74
2009-02-22,79
2009-03-01,61
2009-03-08,76
2009-03-15,75
2009-03-22,55
2009-03-29,63
2009-04-05,64
2009-04-12,76
2009-04-19,67
2009-04-26,70
2009-05-03,73
2009-05-10,62
2009-05-17,63
2009-05-24,59
2009-05-31,65
2009-06-07,56
2009-06-14,64
2009-06-21,56
2009-06-28,63
2009-07-05,68
2009-07-12,63
2009-07-19,59
2009-07-26,87
2009-08-02,67
2009-08-09,71
2009-08-16,76
2009-08-23,77
2009-08-30,74
2009-09-06,62
2009-09-13,72
2009-09-20,71
2009-09-27,76
2009-10-04,65
2009-10-11,74
2009-10-18,73
2009-10-25,74
2009-11-01,66
2009-11-08,72
2009-11-15,69
2009-11-22,66
2009-11-29,60
2009-12-06,71
2009-12-13,55
2009-12-20,40
2009-12-27,56
