Category: All categories

Week,Energy: (Portugal),Jam: (Portugal)
2015-01-04,87,24
2015-01-11,100,28
2015-01-18,93,26
2015-01-25,85,26
2015-02-01,75,24
2015-02-08,76,24
2015-02-15,70,29
2015-02-22,92,25
2015-03-01,84,25
2015-03-08,83,29
2015-03-15,84,31
2015-03-22,69,31
2015-03-29,58,42
2015-04-05,73,23
2015-04-12,82,24
2015-04-19,78,22
2015-04-26,73,33
2015-05-03,77,20
2015-05-10,84,19
2015-05-17,78,24
2015-05-24,84,24
2015-05-31,71,23
2015-06-07,75,29
2015-06-14,65,31
2015-06-21,56,29
2015-06-28,57,29
2015-07-05,50,31
2015-07-12,52,32
2015-07-19,48,34
2015-07-26,56,31
2015-08-02,41,37
2015-08-09,43,36
2015-08-16,46,45
2015-08-23,44,42
2015-08-30,55,46
2015-09-06,55,35
2015-09-13,50,36
2015-09-20,58,35
2015-09-27,65,38
2015-10-04,62,38
2015-10-11,67,33
2015-10-18,64,38
2015-10-25,69,44
2015-11-01,69,36
2015-11-08,62,33
2015-11-15,62,26
2015-11-22,71,30
2015-11-29,71,32
2015-12-06,63,41
2015-12-13,66,47
2015-12-20,39,88
2015-12-27,54,46
