Category: All categories

Week,Petroleum: (Portugal)
2011-01-02,65
2011-01-09,75
2011-01-16,52
2011-01-23,68
2011-01-30,59
2011-02-06,70
2011-02-13,61
2011-02-20,100
2011-02-27,77
2011-03-06,74
2011-03-13,80
2011-03-20,84
2011-03-27,86
2011-04-03,68
2011-04-10,42
2011-04-17,53
2011-04-24,31
2011-05-01,62
2011-05-08,89
2011-05-15,64
2011-05-22,66
2011-05-29,74
2011-06-05,79
2011-06-12,52
2011-06-19,34
2011-06-26,45
2011-07-03,42
2011-07-10,42
2011-07-17,49
2011-07-24,33
2011-07-31,30
2011-08-07,77
2011-08-14,65
2011-08-21,52
2011-08-28,35
2011-09-04,54
2011-09-11,47
2011-09-18,48
2011-09-25,55
2011-10-02,66
2011-10-09,69
2011-10-16,58
2011-10-23,58
2011-10-30,63
2011-11-06,62
2011-11-13,36
2011-11-20,71
2011-11-27,65
2011-12-04,61
2011-12-11,49
2011-12-18,45
2011-12-25,53
