Category: All categories

Week,Amusement park: (Portugal)
2011-01-02,47
2011-01-09,59
2011-01-16,27
2011-01-23,0
2011-01-30,45
2011-02-06,32
2011-02-13,0
2011-02-20,13
2011-02-27,20
2011-03-06,26
2011-03-13,38
2011-03-20,25
2011-03-27,35
2011-04-03,0
2011-04-10,78
2011-04-17,100
2011-04-24,30
2011-05-01,23
2011-05-08,97
2011-05-15,45
2011-05-22,57
2011-05-29,69
2011-06-05,48
2011-06-12,63
2011-06-19,75
2011-06-26,39
2011-07-03,40
2011-07-10,48
2011-07-17,41
2011-07-24,94
2011-07-31,60
2011-08-07,85
2011-08-14,61
2011-08-21,79
2011-08-28,32
2011-09-04,24
2011-09-11,43
2011-09-18,0
2011-09-25,19
2011-10-02,29
2011-10-09,37
2011-10-16,20
2011-10-23,25
2011-10-30,25
2011-11-06,22
2011-11-13,13
2011-11-20,24
2011-11-27,0
2011-12-04,47
2011-12-11,23
2011-12-18,26
2011-12-25,15
2012-01-01,50
2012-01-08,23
2012-01-15,22
2012-01-22,18
2012-01-29,15
2012-02-05,12
2012-02-12,34
2012-02-19,20
2012-02-26,24
2012-03-04,48
2012-03-11,28
2012-03-18,16
2012-03-25,32
2012-04-01,31
2012-04-08,16
2012-04-15,46
2012-04-22,48
2012-04-29,35
2012-05-06,30
2012-05-13,43
2012-05-20,0
2012-05-27,53
2012-06-03,45
2012-06-10,22
2012-06-17,48
2012-06-24,42
2012-07-01,62
2012-07-08,39
2012-07-15,71
2012-07-22,89
2012-07-29,54
2012-08-05,58
2012-08-12,62
2012-08-19,92
2012-08-26,51
2012-09-02,37
2012-09-09,19
2012-09-16,20
2012-09-23,23
2012-09-30,25
2012-10-07,27
2012-10-14,19
2012-10-21,27
2012-10-28,20
2012-11-04,12
2012-11-11,23
2012-11-18,20
2012-11-25,38
2012-12-02,29
2012-12-09,62
2012-12-16,35
2012-12-23,27
2012-12-30,26
