Category: All categories

Week,T-shirt: (Portugal)
2007-01-07,41
2007-01-14,54
2007-01-21,40
2007-01-28,47
2007-02-04,68
2007-02-11,58
2007-02-18,31
2007-02-25,45
2007-03-04,58
2007-03-11,76
2007-03-18,63
2007-03-25,75
2007-04-01,43
2007-04-08,68
2007-04-15,94
2007-04-22,54
2007-04-29,91
2007-05-06,76
2007-05-13,62
2007-05-20,68
2007-05-27,92
2007-06-03,68
2007-06-10,84
2007-06-17,93
2007-06-24,80
2007-07-01,100
2007-07-08,59
2007-07-15,90
2007-07-22,68
2007-07-29,67
2007-08-05,58
2007-08-12,59
2007-08-19,81
2007-08-26,65
2007-09-02,74
2007-09-09,69
2007-09-16,74
2007-09-23,52
2007-09-30,56
2007-10-07,63
2007-10-14,47
2007-10-21,44
2007-10-28,59
2007-11-04,65
2007-11-11,45
2007-11-18,51
2007-11-25,72
2007-12-02,54
2007-12-09,76
2007-12-16,44
2007-12-23,34
2007-12-30,80
2008-01-06,59
2008-01-13,48
2008-01-20,46
2008-01-27,45
2008-02-03,50
2008-02-10,40
2008-02-17,52
2008-02-24,60
2008-03-02,49
2008-03-09,48
2008-03-16,61
2008-03-23,60
2008-03-30,89
2008-04-06,54
2008-04-13,73
2008-04-20,56
2008-04-27,70
2008-05-04,75
2008-05-11,80
2008-05-18,49
2008-05-25,67
2008-06-01,72
2008-06-08,63
2008-06-15,73
2008-06-22,85
2008-06-29,66
2008-07-06,82
2008-07-13,65
2008-07-20,66
2008-07-27,56
2008-08-03,52
2008-08-10,60
2008-08-17,74
2008-08-24,60
2008-08-31,60
2008-09-07,60
2008-09-14,72
2008-09-21,65
2008-09-28,43
2008-10-05,50
2008-10-12,50
2008-10-19,60
2008-10-26,50
2008-11-02,33
2008-11-09,50
2008-11-16,43
2008-11-23,41
2008-11-30,49
2008-12-07,64
2008-12-14,44
2008-12-21,49
2008-12-28,57
