Category: All categories

Week,Gasoline: (Portugal)
2016-01-03,55
2016-01-10,60
2016-01-17,61
2016-01-24,55
2016-01-31,52
2016-02-07,59
2016-02-14,63
2016-02-21,54
2016-02-28,56
2016-03-06,48
2016-03-13,66
2016-03-20,58
2016-03-27,59
2016-04-03,62
2016-04-10,69
2016-04-17,53
2016-04-24,60
2016-05-01,61
2016-05-08,64
2016-05-15,55
2016-05-22,59
2016-05-29,65
2016-06-05,58
2016-06-12,55
2016-06-19,51
2016-06-26,62
2016-07-03,62
2016-07-10,61
2016-07-17,62
2016-07-24,54
2016-07-31,59
2016-08-07,65
2016-08-14,64
2016-08-21,61
2016-08-28,73
2016-09-04,61
2016-09-11,61
2016-09-18,55
2016-09-25,65
2016-10-02,58
2016-10-09,64
2016-10-16,53
2016-10-23,61
2016-10-30,57
2016-11-06,47
2016-11-13,62
2016-11-20,60
2016-11-27,73
2016-12-04,68
2016-12-11,65
2016-12-18,70
2016-12-25,72
2017-01-01,72
2017-01-08,72
2017-01-15,71
2017-01-22,72
2017-01-29,78
2017-02-05,77
2017-02-12,88
2017-02-19,79
2017-02-26,81
2017-03-05,74
2017-03-12,69
2017-03-19,71
2017-03-26,70
2017-04-02,76
2017-04-09,80
2017-04-16,81
2017-04-23,69
2017-04-30,86
2017-05-07,71
2017-05-14,76
2017-05-21,74
2017-05-28,84
2017-06-04,71
2017-06-11,79
2017-06-18,76
2017-06-25,77
2017-07-02,84
2017-07-09,68
2017-07-16,88
2017-07-23,92
2017-07-30,93
2017-08-06,83
2017-08-13,100
2017-08-20,83
2017-08-27,94
2017-09-03,86
2017-09-10,86
2017-09-17,95
2017-09-24,90
2017-10-01,70
2017-10-08,79
2017-10-15,75
2017-10-22,83
2017-10-29,85
2017-11-05,82
2017-11-12,96
2017-11-19,78
2017-11-26,72
2017-12-03,74
2017-12-10,78
2017-12-17,78
2017-12-24,83
2017-12-31,89
