Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2006-01-01,65,18
2006-01-08,66,5
2006-01-15,60,18
2006-01-22,52,11
2006-01-29,58,13
2006-02-05,63,14
2006-02-12,44,10
2006-02-19,66,21
2006-02-26,56,21
2006-03-05,55,18
2006-03-12,57,18
2006-03-19,60,20
2006-03-26,51,17
2006-04-02,44,17
2006-04-09,42,21
2006-04-16,62,15
2006-04-23,63,13
2006-04-30,83,18
2006-05-07,92,18
2006-05-14,86,14
2006-05-21,100,17
2006-05-28,75,13
2006-06-04,97,11
2006-06-11,60,22
2006-06-18,41,11
2006-06-25,38,7
2006-07-02,33,13
2006-07-09,33,12
2006-07-16,33,15
2006-07-23,34,12
2006-07-30,28,23
2006-08-06,30,26
2006-08-13,28,30
2006-08-20,24,19
2006-08-27,35,29
2006-09-03,26,19
2006-09-10,28,11
2006-09-17,40,11
2006-09-24,52,15
2006-10-01,61,7
2006-10-08,55,12
2006-10-15,51,13
2006-10-22,62,16
2006-10-29,49,16
2006-11-05,54,10
2006-11-12,45,7
2006-11-19,56,16
2006-11-26,50,19
2006-12-03,47,21
2006-12-10,48,15
2006-12-17,32,18
2006-12-24,29,33
2006-12-31,39,21
