Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2014-01-05,21,82
2014-01-12,20,75
2014-01-19,20,74
2014-01-26,21,74
2014-02-02,19,72
2014-02-09,20,75
2014-02-16,18,71
2014-02-23,19,75
2014-03-02,17,73
2014-03-09,18,69
2014-03-16,21,67
2014-03-23,22,68
2014-03-30,20,69
2014-04-06,16,64
2014-04-13,15,65
2014-04-20,17,72
2014-04-27,17,65
2014-05-04,20,69
2014-05-11,22,65
2014-05-18,25,65
2014-05-25,25,65
2014-06-01,25,70
2014-06-08,22,69
2014-06-15,21,71
2014-06-22,20,74
2014-06-29,17,72
2014-07-06,18,74
2014-07-13,15,77
2014-07-20,13,79
2014-07-27,13,88
2014-08-03,12,82
2014-08-10,10,83
2014-08-17,13,78
2014-08-24,12,82
2014-08-31,16,81
2014-09-07,14,81
2014-09-14,17,74
2014-09-21,17,74
2014-09-28,18,72
2014-10-05,20,73
2014-10-12,18,76
2014-10-19,16,73
2014-10-26,19,73
2014-11-02,18,74
2014-11-09,19,73
2014-11-16,17,76
2014-11-23,17,81
2014-11-30,16,83
2014-12-07,19,82
2014-12-14,16,81
2014-12-21,15,100
2014-12-28,18,89
