Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2017-01-01,46,81
2017-01-08,60,85
2017-01-15,68,84
2017-01-22,58,83
2017-01-29,58,94
2017-02-05,57,85
2017-02-12,56,85
2017-02-19,57,89
2017-02-26,57,83
2017-03-05,63,88
2017-03-12,65,80
2017-03-19,59,84
2017-03-26,65,86
2017-04-02,50,78
2017-04-09,49,85
2017-04-16,49,86
2017-04-23,57,83
2017-04-30,60,84
2017-05-07,63,83
2017-05-14,65,87
2017-05-21,64,79
2017-05-28,74,78
2017-06-04,65,81
2017-06-11,55,81
2017-06-18,43,76
2017-06-25,42,80
2017-07-02,48,88
2017-07-09,39,84
2017-07-16,45,86
2017-07-23,36,88
2017-07-30,39,87
2017-08-06,35,83
2017-08-13,35,87
2017-08-20,37,94
2017-08-27,38,91
2017-09-03,39,91
2017-09-10,40,85
2017-09-17,44,89
2017-09-24,46,88
2017-10-01,45,84
2017-10-08,50,88
2017-10-15,54,89
2017-10-22,49,86
2017-10-29,46,87
2017-11-05,51,99
2017-11-12,63,95
2017-11-19,50,88
2017-11-26,53,95
2017-12-03,48,91
2017-12-10,55,88
2017-12-17,42,91
2017-12-24,48,100
2017-12-31,57,87
