Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2009-01-04,95,21
2009-01-11,80,21
2009-01-18,72,17
2009-01-25,77,16
2009-02-01,69,17
2009-02-08,74,19
2009-02-15,88,17
2009-02-22,71,22
2009-03-01,100,26
2009-03-08,93,23
2009-03-15,80,19
2009-03-22,93,28
2009-03-29,60,24
2009-04-05,58,27
2009-04-12,81,28
2009-04-19,79,27
2009-04-26,80,22
2009-05-03,87,24
2009-05-10,78,24
2009-05-17,80,30
2009-05-24,94,21
2009-05-31,78,24
2009-06-07,56,17
2009-06-14,72,23
2009-06-21,53,22
2009-06-28,54,25
2009-07-05,59,24
2009-07-12,52,26
2009-07-19,46,21
2009-07-26,46,23
2009-08-02,39,22
2009-08-09,39,19
2009-08-16,29,21
2009-08-23,36,20
2009-08-30,40,14
2009-09-06,31,18
2009-09-13,51,15
2009-09-20,48,18
2009-09-27,53,11
2009-10-04,53,18
2009-10-11,56,12
2009-10-18,65,11
2009-10-25,57,11
2009-11-01,67,10
2009-11-08,64,10
2009-11-15,70,9
2009-11-22,60,14
2009-11-29,54,11
2009-12-06,61,14
2009-12-13,63,10
2009-12-20,34,10
2009-12-27,36,10
