Category: All categories

Week,ebook: (Portugal)
2015-01-04,100
2015-01-11,79
2015-01-18,83
2015-01-25,77
2015-02-01,73
2015-02-08,73
2015-02-15,65
2015-02-22,59
2015-03-01,81
2015-03-08,84
2015-03-15,69
2015-03-22,64
2015-03-29,74
2015-04-05,62
2015-04-12,74
2015-04-19,74
2015-04-26,51
2015-05-03,50
2015-05-10,73
2015-05-17,60
2015-05-24,78
2015-05-31,53
2015-06-07,59
2015-06-14,54
2015-06-21,72
2015-06-28,53
2015-07-05,52
2015-07-12,70
2015-07-19,56
2015-07-26,58
2015-08-02,47
2015-08-09,60
2015-08-16,67
2015-08-23,74
2015-08-30,55
2015-09-06,73
2015-09-13,67
2015-09-20,71
2015-09-27,73
2015-10-04,58
2015-10-11,75
2015-10-18,72
2015-10-25,68
2015-11-01,59
2015-11-08,54
2015-11-15,57
2015-11-22,50
2015-11-29,64
2015-12-06,57
2015-12-13,58
2015-12-20,66
2015-12-27,63
