Category: All categories

Week,Furniture: (Portugal)
2013-01-06,68
2013-01-13,76
2013-01-20,78
2013-01-27,83
2013-02-03,71
2013-02-10,72
2013-02-17,83
2013-02-24,70
2013-03-03,82
2013-03-10,74
2013-03-17,80
2013-03-24,80
2013-03-31,77
2013-04-07,78
2013-04-14,72
2013-04-21,70
2013-04-28,79
2013-05-05,71
2013-05-12,82
2013-05-19,76
2013-05-26,70
2013-06-02,69
2013-06-09,73
2013-06-16,62
2013-06-23,65
2013-06-30,58
2013-07-07,63
2013-07-14,65
2013-07-21,81
2013-07-28,77
2013-08-04,75
2013-08-11,72
2013-08-18,91
2013-08-25,78
2013-09-01,69
2013-09-08,84
2013-09-15,85
2013-09-22,83
2013-09-29,78
2013-10-06,82
2013-10-13,84
2013-10-20,79
2013-10-27,80
2013-11-03,79
2013-11-10,87
2013-11-17,75
2013-11-24,78
2013-12-01,68
2013-12-08,68
2013-12-15,62
2013-12-22,65
2013-12-29,71
2014-01-05,79
2014-01-12,87
2014-01-19,89
2014-01-26,90
2014-02-02,95
2014-02-09,86
2014-02-16,100
2014-02-23,73
2014-03-02,88
2014-03-09,75
2014-03-16,80
2014-03-23,78
2014-03-30,89
2014-04-06,87
2014-04-13,83
2014-04-20,75
2014-04-27,78
2014-05-04,80
2014-05-11,87
2014-05-18,87
2014-05-25,85
2014-06-01,86
2014-06-08,82
2014-06-15,83
2014-06-22,86
2014-06-29,86
2014-07-06,76
2014-07-13,89
2014-07-20,80
2014-07-27,87
2014-08-03,90
2014-08-10,91
2014-08-17,93
2014-08-24,92
2014-08-31,92
2014-09-07,85
2014-09-14,89
2014-09-21,82
2014-09-28,88
2014-10-05,87
2014-10-12,94
2014-10-19,97
2014-10-26,92
2014-11-02,92
2014-11-09,92
2014-11-16,100
2014-11-23,97
2014-11-30,83
2014-12-07,90
2014-12-14,64
2014-12-21,65
2014-12-28,82
