Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2012-01-01,71,24
2012-01-08,85,24
2012-01-15,82,28
2012-01-22,80,21
2012-01-29,69,21
2012-02-05,78,23
2012-02-12,73,22
2012-02-19,64,21
2012-02-26,74,22
2012-03-04,77,26
2012-03-11,82,22
2012-03-18,80,23
2012-03-25,63,24
2012-04-01,51,22
2012-04-08,67,20
2012-04-15,89,21
2012-04-22,74,21
2012-04-29,81,22
2012-05-06,90,12
2012-05-13,96,23
2012-05-20,95,21
2012-05-27,100,21
2012-06-03,82,22
2012-06-10,77,20
2012-06-17,65,17
2012-06-24,72,19
2012-07-01,66,21
2012-07-08,60,18
2012-07-15,53,17
2012-07-22,45,22
2012-07-29,41,20
2012-08-05,42,21
2012-08-12,41,20
2012-08-19,44,20
2012-08-26,45,19
2012-09-02,46,17
2012-09-09,57,18
2012-09-16,65,23
2012-09-23,57,29
2012-09-30,53,23
2012-10-07,58,25
2012-10-14,60,24
2012-10-21,61,25
2012-10-28,63,24
2012-11-04,67,22
2012-11-11,62,23
2012-11-18,65,23
2012-11-25,71,22
2012-12-02,68,23
2012-12-09,65,23
2012-12-16,55,22
2012-12-23,62,36
2012-12-30,72,26
