Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2013-01-06,41,73
2013-01-13,39,80
2013-01-20,42,89
2013-01-27,38,85
2013-02-03,37,87
2013-02-10,30,82
2013-02-17,37,80
2013-02-24,41,82
2013-03-03,43,77
2013-03-10,35,85
2013-03-17,29,79
2013-03-24,34,92
2013-03-31,36,84
2013-04-07,42,80
2013-04-14,40,87
2013-04-21,36,84
2013-04-28,40,77
2013-05-05,38,73
2013-05-12,43,73
2013-05-19,47,94
2013-05-26,48,78
2013-06-02,39,73
2013-06-09,30,76
2013-06-16,31,69
2013-06-23,26,76
2013-06-30,23,68
2013-07-07,24,73
2013-07-14,27,77
2013-07-21,23,77
2013-07-28,20,79
2013-08-04,19,75
2013-08-11,16,76
2013-08-18,21,79
2013-08-25,21,77
2013-09-01,22,82
2013-09-08,25,84
2013-09-15,26,76
2013-09-22,29,87
2013-09-29,31,89
2013-10-06,32,83
2013-10-13,32,88
2013-10-20,33,94
2013-10-27,34,84
2013-11-03,36,89
2013-11-10,34,89
2013-11-17,36,88
2013-11-24,43,95
2013-12-01,48,89
2013-12-08,43,92
2013-12-15,33,87
2013-12-22,27,97
2013-12-29,32,100
