Category: All categories

Week,Auto insurance: (Portugal)
2016-01-03,74
2016-01-10,0
2016-01-17,29
2016-01-24,37
2016-01-31,0
2016-02-07,34
2016-02-14,25
2016-02-21,49
2016-02-28,40
2016-03-06,45
2016-03-13,0
2016-03-20,32
2016-03-27,0
2016-04-03,57
2016-04-10,22
2016-04-17,0
2016-04-24,70
2016-05-01,39
2016-05-08,68
2016-05-15,61
2016-05-22,61
2016-05-29,30
2016-06-05,34
2016-06-12,58
2016-06-19,76
2016-06-26,0
2016-07-03,42
2016-07-10,0
2016-07-17,67
2016-07-24,0
2016-07-31,56
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,59
2016-09-04,58
2016-09-11,36
2016-09-18,76
2016-09-25,36
2016-10-02,25
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,40
2016-11-13,43
2016-11-20,33
2016-11-27,71
2016-12-04,83
2016-12-11,100
2016-12-18,0
2016-12-25,59
