Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2013-01-06,85,7
2013-01-13,81,3
2013-01-20,87,8
2013-01-27,77,5
2013-02-03,76,4
2013-02-10,63,5
2013-02-17,76,4
2013-02-24,82,6
2013-03-03,87,6
2013-03-10,70,4
2013-03-17,61,4
2013-03-24,70,6
2013-03-31,75,8
2013-04-07,89,5
2013-04-14,80,5
2013-04-21,75,6
2013-04-28,86,6
2013-05-05,78,6
2013-05-12,89,8
2013-05-19,97,5
2013-05-26,100,5
2013-06-02,81,8
2013-06-09,63,7
2013-06-16,62,7
2013-06-23,55,8
2013-06-30,49,6
2013-07-07,49,7
2013-07-14,54,4
2013-07-21,47,7
2013-07-28,40,5
2013-08-04,39,5
2013-08-11,34,9
2013-08-18,42,7
2013-08-25,44,5
2013-09-01,44,6
2013-09-08,51,7
2013-09-15,53,5
2013-09-22,59,5
2013-09-29,65,3
2013-10-06,65,8
2013-10-13,63,6
2013-10-20,67,5
2013-10-27,69,5
2013-11-03,71,5
2013-11-10,72,5
2013-11-17,74,6
2013-11-24,87,5
2013-12-01,98,2
2013-12-08,87,4
2013-12-15,65,6
2013-12-22,54,4
2013-12-29,65,5
