Category: All categories

Week,Real Estate: (Portugal)
2008-01-06,94
2008-01-13,97
2008-01-20,99
2008-01-27,87
2008-02-03,92
2008-02-10,98
2008-02-17,100
2008-02-24,94
2008-03-02,88
2008-03-09,86
2008-03-16,88
2008-03-23,96
2008-03-30,81
2008-04-06,86
2008-04-13,81
2008-04-20,76
2008-04-27,75
2008-05-04,82
2008-05-11,74
2008-05-18,80
2008-05-25,73
2008-06-01,72
2008-06-08,75
2008-06-15,69
2008-06-22,72
2008-06-29,77
2008-07-06,71
2008-07-13,79
2008-07-20,74
2008-07-27,68
2008-08-03,76
2008-08-10,81
2008-08-17,91
2008-08-24,79
2008-08-31,79
2008-09-07,85
2008-09-14,78
2008-09-21,80
2008-09-28,76
2008-10-05,71
2008-10-12,78
2008-10-19,83
2008-10-26,69
2008-11-02,64
2008-11-09,71
2008-11-16,67
2008-11-23,61
2008-11-30,55
2008-12-07,58
2008-12-14,56
2008-12-21,58
2008-12-28,63
