Category: All categories

Week,Energy: (Portugal)
2013-01-06,85
2013-01-13,79
2013-01-20,85
2013-01-27,74
2013-02-03,74
2013-02-10,59
2013-02-17,75
2013-02-24,80
2013-03-03,85
2013-03-10,72
2013-03-17,58
2013-03-24,68
2013-03-31,71
2013-04-07,86
2013-04-14,79
2013-04-21,74
2013-04-28,80
2013-05-05,80
2013-05-12,87
2013-05-19,93
2013-05-26,98
2013-06-02,80
2013-06-09,62
2013-06-16,59
2013-06-23,53
2013-06-30,45
2013-07-07,47
2013-07-14,52
2013-07-21,46
2013-07-28,40
2013-08-04,39
2013-08-11,32
2013-08-18,43
2013-08-25,43
2013-09-01,43
2013-09-08,50
2013-09-15,53
2013-09-22,58
2013-09-29,63
2013-10-06,64
2013-10-13,62
2013-10-20,66
2013-10-27,67
2013-11-03,69
2013-11-10,69
2013-11-17,72
2013-11-24,86
2013-12-01,95
2013-12-08,87
2013-12-15,65
2013-12-22,54
2013-12-29,63
2014-01-05,85
2014-01-12,80
2014-01-19,79
2014-01-26,80
2014-02-02,77
2014-02-09,81
2014-02-16,72
2014-02-23,75
2014-03-02,68
2014-03-09,71
2014-03-16,80
2014-03-23,83
2014-03-30,76
2014-04-06,60
2014-04-13,61
2014-04-20,67
2014-04-27,66
2014-05-04,77
2014-05-11,87
2014-05-18,99
2014-05-25,100
2014-06-01,97
2014-06-08,88
2014-06-15,84
2014-06-22,79
2014-06-29,67
2014-07-06,69
2014-07-13,62
2014-07-20,51
2014-07-27,49
2014-08-03,46
2014-08-10,43
2014-08-17,50
2014-08-24,49
2014-08-31,62
2014-09-07,56
2014-09-14,67
2014-09-21,67
2014-09-28,71
2014-10-05,78
2014-10-12,69
2014-10-19,64
2014-10-26,73
2014-11-02,72
2014-11-09,77
2014-11-16,67
2014-11-23,67
2014-11-30,65
2014-12-07,74
2014-12-14,64
2014-12-21,58
2014-12-28,71
