Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2018-01-07,82,6
2018-01-14,86,4
2018-01-21,85,3
2018-01-28,79,3
2018-02-04,72,3
2018-02-11,71,4
2018-02-18,82,4
2018-02-25,78,4
2018-03-04,82,4
2018-03-11,95,5
2018-03-18,83,4
2018-03-25,85,5
2018-04-01,82,6
2018-04-08,80,0
2018-04-15,90,4
2018-04-22,85,3
2018-04-29,89,3
2018-05-06,79,2
2018-05-13,80,1
2018-05-20,92,4
2018-05-27,77,3
2018-06-03,100,2
2018-06-10,82,4
2018-06-17,67,5
2018-06-24,59,2
2018-07-01,58,1
2018-07-08,55,0
2018-07-15,60,3
2018-07-22,59,3
2018-07-29,55,2
2018-08-05,50,1
2018-08-12,53,4
2018-08-19,55,3
2018-08-26,54,4
2018-09-02,59,3
2018-09-09,56,3
2018-09-16,59,2
2018-09-23,76,2
2018-09-30,69,2
2018-10-07,88,2
2018-10-14,74,4
2018-10-21,76,3
2018-10-28,68,6
2018-11-04,75,6
2018-11-11,76,3
2018-11-18,79,4
2018-11-25,80,4
2018-12-02,81,3
2018-12-09,66,5
2018-12-16,63,4
2018-12-23,49,3
2018-12-30,65,6
