Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2017-01-01,62,16
2017-01-08,81,13
2017-01-15,92,22
2017-01-22,79,22
2017-01-29,78,20
2017-02-05,77,15
2017-02-12,76,15
2017-02-19,77,21
2017-02-26,77,18
2017-03-05,85,18
2017-03-12,88,20
2017-03-19,80,19
2017-03-26,88,18
2017-04-02,68,19
2017-04-09,67,16
2017-04-16,66,13
2017-04-23,77,17
2017-04-30,82,17
2017-05-07,85,20
2017-05-14,87,21
2017-05-21,86,18
2017-05-28,100,16
2017-06-04,88,19
2017-06-11,75,15
2017-06-18,58,14
2017-06-25,57,18
2017-07-02,65,16
2017-07-09,53,22
2017-07-16,61,20
2017-07-23,48,15
2017-07-30,53,18
2017-08-06,47,19
2017-08-13,47,11
2017-08-20,50,16
2017-08-27,52,15
2017-09-03,53,15
2017-09-10,54,15
2017-09-17,60,16
2017-09-24,63,15
2017-10-01,61,12
2017-10-08,67,14
2017-10-15,73,15
2017-10-22,66,14
2017-10-29,62,12
2017-11-05,69,10
2017-11-12,85,13
2017-11-19,68,15
2017-11-26,72,9
2017-12-03,64,12
2017-12-10,74,8
2017-12-17,57,7
2017-12-24,64,13
2017-12-31,77,13
