Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2015-01-04,87,1
2015-01-11,100,3
2015-01-18,93,4
2015-01-25,85,4
2015-02-01,75,2
2015-02-08,76,2
2015-02-15,70,3
2015-02-22,92,2
2015-03-01,84,2
2015-03-08,83,2
2015-03-15,84,3
2015-03-22,69,4
2015-03-29,58,4
2015-04-05,73,5
2015-04-12,82,3
2015-04-19,78,2
2015-04-26,73,4
2015-05-03,77,4
2015-05-10,84,2
2015-05-17,78,4
2015-05-24,84,4
2015-05-31,71,3
2015-06-07,75,4
2015-06-14,65,4
2015-06-21,56,4
2015-06-28,57,5
2015-07-05,50,3
2015-07-12,52,5
2015-07-19,48,4
2015-07-26,56,6
2015-08-02,41,4
2015-08-09,43,6
2015-08-16,46,8
2015-08-23,44,2
2015-08-30,55,4
2015-09-06,55,3
2015-09-13,50,3
2015-09-20,58,5
2015-09-27,65,2
2015-10-04,62,2
2015-10-11,67,1
2015-10-18,64,2
2015-10-25,69,3
2015-11-01,69,2
2015-11-08,62,3
2015-11-15,62,2
2015-11-22,71,1
2015-11-29,71,2
2015-12-06,63,3
2015-12-13,66,5
2015-12-20,39,1
2015-12-27,54,2
