Category: All categories

Week,Furniture: (Portugal)
2010-01-03,96
2010-01-10,92
2010-01-17,100
2010-01-24,92
2010-01-31,92
2010-02-07,83
2010-02-14,77
2010-02-21,86
2010-02-28,89
2010-03-07,85
2010-03-14,86
2010-03-21,88
2010-03-28,92
2010-04-04,90
2010-04-11,78
2010-04-18,87
2010-04-25,82
2010-05-02,74
2010-05-09,69
2010-05-16,68
2010-05-23,74
2010-05-30,60
2010-06-06,76
2010-06-13,69
2010-06-20,77
2010-06-27,75
2010-07-04,80
2010-07-11,90
2010-07-18,89
2010-07-25,80
2010-08-01,94
2010-08-08,89
2010-08-15,84
2010-08-22,89
2010-08-29,80
2010-09-05,74
2010-09-12,94
2010-09-19,84
2010-09-26,63
2010-10-03,73
2010-10-10,71
2010-10-17,72
2010-10-24,80
2010-10-31,69
2010-11-07,80
2010-11-14,80
2010-11-21,74
2010-11-28,67
2010-12-05,61
2010-12-12,59
2010-12-19,54
2010-12-26,50
