Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2014-01-05,84,8
2014-01-12,80,10
2014-01-19,78,8
2014-01-26,82,12
2014-02-02,72,11
2014-02-09,79,7
2014-02-16,72,8
2014-02-23,74,10
2014-03-02,69,11
2014-03-09,72,11
2014-03-16,79,12
2014-03-23,85,14
2014-03-30,76,7
2014-04-06,60,7
2014-04-13,59,6
2014-04-20,66,8
2014-04-27,67,10
2014-05-04,78,9
2014-05-11,85,11
2014-05-18,100,10
2014-05-25,100,11
2014-06-01,95,9
2014-06-08,89,11
2014-06-15,83,12
2014-06-22,79,7
2014-06-29,68,8
2014-07-06,69,8
2014-07-13,60,8
2014-07-20,52,8
2014-07-27,49,6
2014-08-03,47,7
2014-08-10,43,10
2014-08-17,51,5
2014-08-24,46,6
2014-08-31,61,8
2014-09-07,55,8
2014-09-14,67,10
2014-09-21,66,10
2014-09-28,68,8
2014-10-05,78,14
2014-10-12,71,16
2014-10-19,65,14
2014-10-26,72,11
2014-11-02,71,11
2014-11-09,78,16
2014-11-16,67,14
2014-11-23,64,14
2014-11-30,63,20
2014-12-07,70,20
2014-12-14,63,28
2014-12-21,58,14
2014-12-28,73,18
