Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2018-01-07,82,25
2018-01-14,88,30
2018-01-21,85,29
2018-01-28,79,26
2018-02-04,74,24
2018-02-11,71,27
2018-02-18,82,29
2018-02-25,80,27
2018-03-04,82,28
2018-03-11,96,23
2018-03-18,84,31
2018-03-25,86,34
2018-04-01,83,25
2018-04-08,79,25
2018-04-15,89,23
2018-04-22,85,25
2018-04-29,91,26
2018-05-06,79,30
2018-05-13,81,29
2018-05-20,93,26
2018-05-27,78,26
2018-06-03,100,33
2018-06-10,83,24
2018-06-17,67,27
2018-06-24,59,26
2018-07-01,58,26
2018-07-08,55,28
2018-07-15,60,28
2018-07-22,59,30
2018-07-29,56,32
2018-08-05,51,33
2018-08-12,53,38
2018-08-19,56,32
2018-08-26,54,33
2018-09-02,59,26
2018-09-09,57,30
2018-09-16,59,23
2018-09-23,76,22
2018-09-30,69,32
2018-10-07,89,26
2018-10-14,74,32
2018-10-21,76,25
2018-10-28,68,31
2018-11-04,75,27
2018-11-11,77,20
2018-11-18,79,19
2018-11-25,81,26
2018-12-02,82,36
2018-12-09,67,25
2018-12-16,63,30
2018-12-23,50,30
2018-12-30,65,25
