Category: All categories

Week,Television: (Portugal)
2014-01-05,50
2014-01-12,75
2014-01-19,51
2014-01-26,47
2014-02-02,54
2014-02-09,100
2014-02-16,50
2014-02-23,62
2014-03-02,52
2014-03-09,57
2014-03-16,64
2014-03-23,64
2014-03-30,53
2014-04-06,52
2014-04-13,61
2014-04-20,66
2014-04-27,44
2014-05-04,45
2014-05-11,38
2014-05-18,35
2014-05-25,36
2014-06-01,33
2014-06-08,45
2014-06-15,47
2014-06-22,46
2014-06-29,40
2014-07-06,33
2014-07-13,47
2014-07-20,63
2014-07-27,46
2014-08-03,37
2014-08-10,47
2014-08-17,59
2014-08-24,49
2014-08-31,60
2014-09-07,38
2014-09-14,49
2014-09-21,65
2014-09-28,47
2014-10-05,47
2014-10-12,42
2014-10-19,48
2014-10-26,50
2014-11-02,44
2014-11-09,40
2014-11-16,39
2014-11-23,45
2014-11-30,44
2014-12-07,40
2014-12-14,49
2014-12-21,42
2014-12-28,47
2015-01-04,47
2015-01-11,40
2015-01-18,39
2015-01-25,44
2015-02-01,38
2015-02-08,47
2015-02-15,50
2015-02-22,47
2015-03-01,50
2015-03-08,47
2015-03-15,40
2015-03-22,37
2015-03-29,39
2015-04-05,41
2015-04-12,41
2015-04-19,34
2015-04-26,65
2015-05-03,40
2015-05-10,34
2015-05-17,48
2015-05-24,29
2015-05-31,29
2015-06-07,30
2015-06-14,28
2015-06-21,27
2015-06-28,29
2015-07-05,29
2015-07-12,32
2015-07-19,34
2015-07-26,35
2015-08-02,37
2015-08-09,40
2015-08-16,52
2015-08-23,49
2015-08-30,34
2015-09-06,41
2015-09-13,40
2015-09-20,51
2015-09-27,39
2015-10-04,38
2015-10-11,35
2015-10-18,40
2015-10-25,58
2015-11-01,33
2015-11-08,36
2015-11-15,35
2015-11-22,33
2015-11-29,42
2015-12-06,36
2015-12-13,35
2015-12-20,39
2015-12-27,44
