Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2014-01-05,84,33
2014-01-12,79,37
2014-01-19,77,34
2014-01-26,81,34
2014-02-02,72,34
2014-02-09,80,32
2014-02-16,72,39
2014-02-23,73,34
2014-03-02,68,33
2014-03-09,71,42
2014-03-16,78,44
2014-03-23,85,42
2014-03-30,78,38
2014-04-06,60,44
2014-04-13,59,43
2014-04-20,67,52
2014-04-27,66,44
2014-05-04,77,48
2014-05-11,86,52
2014-05-18,99,52
2014-05-25,100,52
2014-06-01,94,51
2014-06-08,88,57
2014-06-15,83,52
2014-06-22,79,45
2014-06-29,67,53
2014-07-06,68,44
2014-07-13,60,50
2014-07-20,51,46
2014-07-27,49,39
2014-08-03,47,44
2014-08-10,43,41
2014-08-17,51,43
2014-08-24,46,44
2014-08-31,62,42
2014-09-07,54,44
2014-09-14,67,36
2014-09-21,65,38
2014-09-28,69,34
2014-10-05,78,34
2014-10-12,70,38
2014-10-19,64,32
2014-10-26,72,37
2014-11-02,71,32
2014-11-09,78,37
2014-11-16,66,33
2014-11-23,64,33
2014-11-30,63,37
2014-12-07,70,38
2014-12-14,63,32
2014-12-21,58,34
2014-12-28,73,28
