Category: All categories

Week,Used car: (Portugal)
2016-01-03,98
2016-01-10,94
2016-01-17,89
2016-01-24,93
2016-01-31,85
2016-02-07,86
2016-02-14,84
2016-02-21,88
2016-02-28,93
2016-03-06,85
2016-03-13,89
2016-03-20,87
2016-03-27,87
2016-04-03,74
2016-04-10,88
2016-04-17,85
2016-04-24,72
2016-05-01,83
2016-05-08,90
2016-05-15,76
2016-05-22,81
2016-05-29,76
2016-06-05,72
2016-06-12,75
2016-06-19,73
2016-06-26,72
2016-07-03,76
2016-07-10,77
2016-07-17,90
2016-07-24,83
2016-07-31,81
2016-08-07,89
2016-08-14,88
2016-08-21,91
2016-08-28,90
2016-09-04,90
2016-09-11,100
2016-09-18,91
2016-09-25,96
2016-10-02,82
2016-10-09,81
2016-10-16,90
2016-10-23,83
2016-10-30,97
2016-11-06,80
2016-11-13,89
2016-11-20,69
2016-11-27,82
2016-12-04,73
2016-12-11,74
2016-12-18,82
2016-12-25,79
2017-01-01,89
2017-01-08,81
2017-01-15,81
2017-01-22,89
2017-01-29,85
2017-02-05,76
2017-02-12,77
2017-02-19,86
2017-02-26,82
2017-03-05,69
2017-03-12,82
2017-03-19,75
2017-03-26,73
2017-04-02,76
2017-04-09,67
2017-04-16,86
2017-04-23,83
2017-04-30,85
2017-05-07,70
2017-05-14,88
2017-05-21,79
2017-05-28,72
2017-06-04,79
2017-06-11,86
2017-06-18,76
2017-06-25,79
2017-07-02,91
2017-07-09,81
2017-07-16,74
2017-07-23,92
2017-07-30,93
2017-08-06,90
2017-08-13,84
2017-08-20,75
2017-08-27,79
2017-09-03,78
2017-09-10,74
2017-09-17,82
2017-09-24,78
2017-10-01,75
2017-10-08,82
2017-10-15,75
2017-10-22,72
2017-10-29,81
2017-11-05,86
2017-11-12,83
2017-11-19,87
2017-11-26,78
2017-12-03,71
2017-12-10,77
2017-12-17,69
2017-12-24,89
2017-12-31,78
