Category: All categories

Week,Energy: (Portugal)
2013-01-06,85
2013-01-13,82
2013-01-20,88
2013-01-27,77
2013-02-03,76
2013-02-10,59
2013-02-17,78
2013-02-24,83
2013-03-03,86
2013-03-10,73
2013-03-17,60
2013-03-24,70
2013-03-31,76
2013-04-07,88
2013-04-14,82
2013-04-21,76
2013-04-28,81
2013-05-05,80
2013-05-12,88
2013-05-19,96
2013-05-26,100
2013-06-02,83
2013-06-09,61
2013-06-16,63
2013-06-23,55
2013-06-30,48
2013-07-07,48
2013-07-14,53
2013-07-21,47
2013-07-28,41
2013-08-04,39
2013-08-11,34
2013-08-18,41
2013-08-25,45
2013-09-01,45
2013-09-08,51
2013-09-15,55
2013-09-22,58
2013-09-29,66
2013-10-06,65
2013-10-13,63
2013-10-20,71
2013-10-27,70
2013-11-03,75
2013-11-10,71
2013-11-17,74
2013-11-24,88
2013-12-01,96
2013-12-08,89
2013-12-15,68
2013-12-22,56
2013-12-29,66
