Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2017-01-01,62,6
2017-01-08,86,5
2017-01-15,94,5
2017-01-22,82,5
2017-01-29,79,2
2017-02-05,81,6
2017-02-12,78,4
2017-02-19,81,4
2017-02-26,78,7
2017-03-05,86,6
2017-03-12,87,9
2017-03-19,80,6
2017-03-26,89,4
2017-04-02,67,4
2017-04-09,66,5
2017-04-16,67,5
2017-04-23,77,5
2017-04-30,84,5
2017-05-07,87,5
2017-05-14,86,5
2017-05-21,86,5
2017-05-28,100,6
2017-06-04,91,5
2017-06-11,79,3
2017-06-18,58,5
2017-06-25,60,5
2017-07-02,65,3
2017-07-09,58,6
2017-07-16,62,5
2017-07-23,51,4
2017-07-30,53,2
2017-08-06,48,4
2017-08-13,46,2
2017-08-20,52,3
2017-08-27,53,2
2017-09-03,52,5
2017-09-10,55,7
2017-09-17,61,7
2017-09-24,62,7
2017-10-01,60,4
2017-10-08,69,3
2017-10-15,73,4
2017-10-22,67,6
2017-10-29,66,2
2017-11-05,70,7
2017-11-12,87,5
2017-11-19,67,8
2017-11-26,74,4
2017-12-03,70,8
2017-12-10,75,5
2017-12-17,57,4
2017-12-24,67,3
2017-12-31,78,5
