Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2012-01-01,74,41
2012-01-08,85,37
2012-01-15,84,38
2012-01-22,81,41
2012-01-29,70,37
2012-02-05,81,40
2012-02-12,73,38
2012-02-19,64,34
2012-02-26,77,38
2012-03-04,77,40
2012-03-11,84,38
2012-03-18,81,34
2012-03-25,64,35
2012-04-01,53,35
2012-04-08,68,35
2012-04-15,89,41
2012-04-22,75,36
2012-04-29,81,31
2012-05-06,90,36
2012-05-13,97,29
2012-05-20,95,36
2012-05-27,100,30
2012-06-03,83,34
2012-06-10,77,32
2012-06-17,67,35
2012-06-24,72,32
2012-07-01,67,33
2012-07-08,60,32
2012-07-15,51,34
2012-07-22,46,34
2012-07-29,42,37
2012-08-05,42,34
2012-08-12,41,39
2012-08-19,45,39
2012-08-26,46,35
2012-09-02,46,33
2012-09-09,58,31
2012-09-16,66,38
2012-09-23,56,35
2012-09-30,52,35
2012-10-07,58,36
2012-10-14,61,44
2012-10-21,62,40
2012-10-28,63,35
2012-11-04,67,41
2012-11-11,63,39
2012-11-18,66,38
2012-11-25,71,49
2012-12-02,69,51
2012-12-09,67,42
2012-12-16,56,38
2012-12-23,64,34
2012-12-30,72,38
