Category: All categories

Week,Dessert: (Portugal)
2008-01-06,47
2008-01-13,55
2008-01-20,49
2008-01-27,100
2008-02-03,30
2008-02-10,59
2008-02-17,54
2008-02-24,54
2008-03-02,45
2008-03-09,23
2008-03-16,21
2008-03-23,71
2008-03-30,60
2008-04-06,37
2008-04-13,65
2008-04-20,43
2008-04-27,69
2008-05-04,48
2008-05-11,32
2008-05-18,59
2008-05-25,36
2008-06-01,28
2008-06-08,55
2008-06-15,43
2008-06-22,79
2008-06-29,52
2008-07-06,54
2008-07-13,33
2008-07-20,63
2008-07-27,26
2008-08-03,58
2008-08-10,22
2008-08-17,40
2008-08-24,57
2008-08-31,35
2008-09-07,47
2008-09-14,44
2008-09-21,33
2008-09-28,43
2008-10-05,64
2008-10-12,42
2008-10-19,28
2008-10-26,79
2008-11-02,52
2008-11-09,37
2008-11-16,69
2008-11-23,44
2008-11-30,32
2008-12-07,46
2008-12-14,37
2008-12-21,84
2008-12-28,81
