Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2009-01-04,22,66
2009-01-11,18,74
2009-01-18,16,66
2009-01-25,18,57
2009-02-01,16,61
2009-02-08,17,66
2009-02-15,20,79
2009-02-22,16,86
2009-03-01,23,68
2009-03-08,21,79
2009-03-15,18,60
2009-03-22,21,59
2009-03-29,14,56
2009-04-05,13,80
2009-04-12,19,69
2009-04-19,18,72
2009-04-26,18,72
2009-05-03,20,69
2009-05-10,18,62
2009-05-17,18,57
2009-05-24,22,61
2009-05-31,18,55
2009-06-07,13,57
2009-06-14,17,58
2009-06-21,12,60
2009-06-28,12,59
2009-07-05,13,57
2009-07-12,12,77
2009-07-19,10,83
2009-07-26,11,92
2009-08-02,9,69
2009-08-09,9,67
2009-08-16,7,100
2009-08-23,8,86
2009-08-30,9,73
2009-09-06,7,64
2009-09-13,12,82
2009-09-20,11,82
2009-09-27,12,72
2009-10-04,12,78
2009-10-11,13,61
2009-10-18,15,71
2009-10-25,13,88
2009-11-01,15,73
2009-11-08,15,76
2009-11-15,16,64
2009-11-22,14,85
2009-11-29,12,86
2009-12-06,14,78
2009-12-13,15,65
2009-12-20,8,95
2009-12-27,8,69
